"const_id","const_name","elected_mp_party","elected_mp_party_name","elected_mp_name","elected_mp_votes","majority","valid","invalid","electorate","turnout_pct","ge17_party","ge17_majority","ge17_turnout"
"E14000530","Aldershot","Con","Conservative and Unionist Party","Leo Docherty",27980,16698,47932,,72617,66,"Con",11473,64.4
"E14000531","Aldridge-Brownhills","Con","Conservative and Unionist Party","Wendy Morton",27850,19836,39342,,60138,65.4,"Con",14307,66.8
"E14000532","Altrincham and Sale West","Con","Conservative and Unionist Party","Graham Brady",26311,6139,54763,,73146,74.9,"Con",6426,72.3
"E14000533","Amber Valley","Con","Conservative and Unionist Party","Nigel Mills",29096,16886,45567,,69976,65.1,"Con",8300,67.5
"E14000534","Arundel and South Downs","Con","Conservative and Unionist Party","Andrew Griffith",35566,22521,61408,,,,"Con",23883,76
"E14000535","Ashfield","Con","Conservative and Unionist Party","Lee Anderson",19231,5733,48980,,78204,62.6,"Lab",441,64.1
"E14000536","Ashford","Con","Conservative and Unionist Party","Damian Green",37270,24029,60059,,89550,67.1,"Con",17478,68.7
"E14000537","Ashton-under-Lyne","Lab","Labour Party","Angela Rayner",18544,4263,38579,,67978,56.8,"Lab",11295,58.9
"E14000538","Aylesbury","Con","Conservative and Unionist Party","Rob Butler",32737,17373,60576,,,,"Con",14656,71.4
"E14000539","Banbury","Con","Conservative and Unionist Party","Victoria Prentis",34148,16813,62921,,90113,69.8,"Con",12399,73.6
"E14000540","Barking","Lab","Labour Party","Margaret Hodge",27219,15427,44499,,77946,57.1,"Lab",21608,62
"E14000541","Barnsley Central","Lab","Labour Party","Dan Jarvis",14804,3571,36903,,65277,56.5,"Lab",15546,61
"E14000542","Barnsley East","Lab","Labour Party","Stephanie Peacock",14329,3217,38070,,69504,54.8,"Lab",13283,59
"E14000543","Barrow and Furness","Con","Conservative and Unionist Party","Simon Fell",23876,5789,46046,,,,"Lab",209,68.6
"E14000544","Basildon and Billericay","Con","Conservative and Unionist Party","John Baron",29590,20412,44128,,69906,63.1,"Con",13400,65.1
"E14000545","Basingstoke","Con","Conservative and Unionist Party","Maria Miller",29593,14198,54713,,82926,66,"Con",9466,68.5
"E14000546","Bassetlaw","Con","Conservative and Unionist Party","Brendan Clarke-Smith",28078,14013,50841,,80035,63.5,"Lab",4852,66.7
"E14000547","Bath","LD","Liberal Democrats","Wera Hobhouse",28419,12322,52138,,67752,77,"LD",5694,74.4
"E14000548","Batley and Spen","Lab","Labour and Co-operative Party","Tracy Brabin",22594,3525,52927,,79558,66.5,"Lab",8961,67.2
"E14000549","Battersea","Lab","Labour Party","Marsha de Cordova",27290,5668,59977,,79309,75.6,"Lab",2416,71.1
"E14000550","Beaconsfield","Con","Conservative and Unionist Party","Joy Morrissey",32477,15712,57868,,77720,74.5,"Con",24543,72.4
"E14000551","Beckenham","Con","Conservative and Unionist Party","Bob Stewart",27282,14258,50555,,68671,73.6,"Con",15087,76.3
"E14000552","Bedford","Lab","Labour Party","Mohammad Yasin",20491,145,47301,,71579,66.1,"Lab",789,67.7
"E14000553","Bermondsey and Old Southwark","Lab","Labour Party","Neil Coyle",31723,16126,58615,,,,"Lab",12972,67.2
"E14000554","Berwick-upon-Tweed","Con","Conservative and Unionist Party","Anne-Marie Trevelyan",23947,14835,42109,,,,"Con",11781,71.9
"E14000555","Bethnal Green and Bow","Lab","Labour Party","Rushanara Ali",44052,37524,60562,,88169,68.7,"Lab",35393,69.8
"E14000556","Beverley and Holderness","Con","Conservative and Unionist Party","Graham Stuart",33250,20448,53542,,,,"Con",14042,69.2
"E14000557","Bexhill and Battle","Con","Conservative and Unionist Party","Huw Merriman",37590,26059,59093,,,,"Con",22165,73.2
"E14000558","Bexleyheath and Crayford","Con","Conservative and Unionist Party","David Evennett",25856,13103,43246,,65466,66.1,"Con",9073,69.3
"E14000559","Birkenhead","Lab","Labour Party","Mick Whitley",24990,17705,42329,,63762,66.4,"Lab",25514,67.9
"E14000560","Birmingham, Edgbaston","Lab","Labour and Co-operative Party","Preet Kaur Gill",21217,5614,42328,,68828,61.5,"Lab",6917,64.2
"E14000561","Birmingham, Erdington","Lab","Labour Party","Jack Dromey",17720,3601,35229,,66148,53.3,"Lab",7285,57.4
